song_id,instrument,confidence_score
3921,instrument al,0.939
3922,instrument al,0.927
3923,instrument al,0.692
3924,instrument al,0.905
3925,instrument al,0.9
3926,instrument al,0.781
3927,instrument al,0.909
3929,instrument al,0.835
3931,instrument al,0.944
3933,instrument al,0.832
3934,instrument al,0.903
3935,instrument al,0.885
3936,instrument al,0.936
3937,instrument al,0.922
3938,instrument al,0.92
3939,instrument al,0.936
3940,instrument al,0.916
3942,instrument al,0.889
3943,instrument al,0.927
3944,instrument al,0.737
3945,instrument al,0.897
3946,instrument al,0.905
3947,instrument al,0.912
3948,instrument al,0.865
3949,instrument al,0.891
3950,instrument al,0.91
3951,instrument al,0.918
3952,instrument al,0.958
3953,instrument al,0.856
3954,instrument al,0.891
3955,instrument al,0.911
3956,instrument al,0.91
3958,instrument al,0.892
3959,instrument al,0.897
3960,instrument al,0.914
3961,instrument al,0.868
3962,instrument al,0.912
3963,instrument al,0.692
3964,instrument al,0.926
3965,instrument al,0.9
3966,instrument al,0.897
3969,instrument al,0.664
3970,instrument al,0.865
3971,instrument al,0.888
3972,instrument al,0.684
3974,instrument al,0.591
3976,instrument al,0.946
3977,instrument al,0.775
3978,instrument al,0.865
3979,instrument al,0.799
3980,instrument al,0.913
3981,instrument al,0.915
3982,instrument al,0.969
3983,instrument al,0.912
3984,instrument al,0.829
3985,instrument al,0.904
3986,instrument al,0.925
3987,instrument al,0.978
3988,instrument al,0.937
3989,instrument al,0.852
3991,instrument al,0.862
3992,instrument al,0.86
3993,instrument al,0.952
3996,instrument al,0.895
